speaker,start,end,content
Trump,616,619,"Excuse me. I got rid of the individual mandate, which was a big chunk of Obamacare."
Wallace ,619,620,That’s not a comprehensive place.
Trump,620,623,That is absolutely a big thing. That was the worst part of Obamacare.
Wallace ,623,624,"I didn’t ask, sir."
Trump,624,626,"Chris, that was the worst part of Obamacare."
Wallace ,626,626,You’re debating him not me. Let me ask my question.
Trump,626,632,"Well, I’ll ask Joe. The individual mandate was the most unpopular aspect of Obamacare."
Wallace ,632,632,Mr. President.
Trump,632,634,I got rid of it. And we will protect people.
Wallace ,634,640,"Mr. President, I’m the moderator of this debate and I would like you to let me ask my question and then you can answer."
Trump,640,641,Go ahead.
Wallace ,641,664,"You, in the course of these four years, have never come up with a comprehensive plan to replace Obamacare, and just this last Thursday you signed a largely symbolic Executive Order to protect people with pre-existing conditions five days before this debate. So my question, sir, is what is the Trump healthcare plan?"
Trump,664,688,"Well, first of all, I guess I’m debating you, not him, but that’s okay. I’m not surprised. Let me just tell you something. There’s nothing symbolic. I’m cutting drug prices. I’m going with Favored Nations, which no President has the courage to do because you’re going against big pharma. Drug prices will be coming down 80 or 90%. You could have done it during your 47 year period in government, but you didn’t do it. Nobody’s done it. So we’re cutting healthcare."
Wallace ,688,688,What about pre-existing conditions?
Trump,688,689,All of the things that we’ve done.
Biden,689,690,He has not done healthcare.
Trump,690,711,"I’ll give you an example. Insulin, it was destroying families, destroying people, the cost. I’m getting it for so cheap it’s like water, you want to know the truth. So cheap. Take a look at all of the drugs that what we’re doing. Prescription drug prices, we’re going to allow our Governors now to go to other countries to buy drugs because when they paid just a tiny fraction of what we do."
Wallace ,711,712,"Okay, like I say, this is open discussion."
Trump,712,714,This is big stuff.
Wallace ,714,725,"Sir, you’ll be happy. I’m about to pick up on one of your points to ask the Vice President, which is, he points out that you would like to add a public option to Obamacare."
Biden,725,725,Yes.
Wallace ,725,731,And the argument that he makes and other Republicans make is that that is going to end private insurance.
Biden,731,733,It is not.
Wallace ,733,734,If I start asking the question.
Trump,734,737,"That’s not what your party says, by the way."
Wallace ,737,740,And it will end private insurance and create a government takeover of health.
Biden,740,765,"It does not. It’s only for those people who are so poor they qualify for Medicaid they can get that free in most States, except Governors who want to deny people who are poor Medicaid. Anyone who qualifies for Medicare, excuse me, Medicaid would automatically be enrolled in the public option. The vast majority of the American people would still not be in that option. Number one. Number two."
Trump,765,772,"Joe, you agreed with Bernie Sanders, who’s far left, on the manifesto, we call it. And that gives you socialized medicine."
Biden,772,773,"Look, hey."
Trump,773,774,Are you saying you didn’t agree?
Biden,774,778,I’m not going to listen to him. The fact of the matter is I beat Bernie Sanders.
Trump,778,778,Not by much.
Biden,778,780,I beat him by a whole hell of a lot.
Trump,780,780,Not by much.
Biden,780,782,"I’m here standing facing you, old buddy."
Trump,782,785,If Pocahontas would have left two days early you would have lost every primary.
Biden,785,786,All he knows how to do-
Trump,786,789,"On Super Tuesday, you got very lucky."
Biden,789,791,Look he’s the deal. I got very lucky. I’m going to get very lucky tonight as well.
Trump,791,791,With what?
Biden,791,793,And tonight I’m going to make sure.
Trump,793,793,With what?
Biden,793,802,"Because here’s the deal, here’s the deal. The fact is that everything he’s saying so far is simply a lie. I’m not here to call out his lies. Everybody knows he’s a liar."
Trump,802,809,"But you agree. Joe, you’re the liar. You graduated last in your class not first in your class."
Biden,809,811,"God, I want to make sure-"
Wallace ,811,812,"Mr. President, can you let him finish, sir?"
Biden,812,814,"No, he doesn’t know how to do that."
Trump,814,815,"You’d be surprised. You’d be surprised. Go ahead, Joe."
Biden,815,819,"The wrong guy, the wrong night, at the wrong time."
Trump,819,823,"Listen, you agreed with Bernie Sanders and the manifesto."
Biden,823,825,"There is no manifesto, number one."
Wallace ,825,826,"Please let him speak, Mr. President."
Biden,826,826,Number two.
Trump,826,827,He just lost the left.
Biden,827,829,Number two.
Trump,829,841,"You just lost the left. You agreed with Bernie Sanders on a plan that you absolutely agreed to and under that plan [crosstalk 00:15:10], they call it socialized medicine."
Wallace ,841,842,Mr. President.
Biden,842,848,"I’ll tell you what, he is not for any help for people needing healthcare."
Trump,848,849,"Who is, Bernie?"
Biden,849,869,"Because he, in fact, already has costs 10 million people their healthcare that they had from their employers because of his recession. Number one. Number two, there are 20 million people getting healthcare through Obamacare now that he wants to take it away. He won’t ever look you in the eye and say that’s what he wants to do. Take it away."
Trump,869,873,"No, I want to give them better healthcare at a much lower price, because Obamacare is no good."
Biden,873,874,He doesn’t know how. He doesn’t know how to do that.
Trump,874,875,I’ve already fixed it.
Biden,875,877,He has never offered a plan.
Trump,877,882,"We’ve already fixed it to an extent. Obamacare, as you might know but probably don’t, Obamacare is no good."
Wallace ,882,887,"Gentlemen, you realize if you’re both speaking at the same time. Let the President. Go ahead, sir."
Trump,887,930,"Obamacare is no good. We made it better and I had a choice to make very early on. We took away the individual mandate. We guaranteed pre-existing conditions, but took away the individual mandate. Listen, this is the way it is. And that destroyed … They shouldn’t even call it Obamacare, then I had a choice to make, do I let my people run it really well or badly? If I run it badly, they’ll probably blame him, but they’ll blame me. But more importantly, I want to help people. Okay. I said, “You’ve got to run it so well.” And I just had a meeting with them. They said the problem is, no matter how well you run Obamacare, it’s a disaster. It’s too expensive. Premiums are too high, that it doesn’t work. So we do want to get rid of it. Chris, we want to get rid of that and give something that’s cheaper and better."
Wallace ,930,933,"I understand that, sir. But I have to give you roughly equal time."
Trump,933,933,Go ahead.
Wallace ,933,935,"Please let the Vice President talk, sir."
Trump,935,936,Good.
Biden,936,938,He has no plan for healthcare.
Trump,938,940,"Of course, we do."
Wallace ,940,940,Please.
Biden,940,961,"He sends out wishful thinking. He has Executive Orders that have no power. He hasn’t lowered drug costs for anybody. He’s been promising a healthcare plan since he got elected. He has none, like almost everything else he talks about. He does not have a plan. He doesn’t have a plan. And the fact is this man doesn’t know what he’s talking about. [crosstalk 00:17:14]."
Wallace ,961,963,"All right, I have one final question for you."
Biden,963,964,Sure.
Wallace ,964,1003,"Mr. Vice President, if Senate Republicans, we were talking originally about the Supreme Court here, if Senate Republicans go ahead and confirm Justice Barrett there has been talk about ending the filibuster or even packing the court, adding to the nine justices there. You call this a distraction by the President. But, in fact, it wasn’t brought up by the President. It was brought up by some of your Democratic colleagues in the Congress. So my question to you is, you have refused in the past to talk about it, are you willing to tell the American tonight whether or not you will support either ending the filibuster or packing the court?"
Biden,1003,1013,"Whatever position I take on that, that’ll become the issue. The issue is the American people should speak. You should go out and vote. You’re voting now. Vote and let your Senators know strongly how you feel."
Trump,1013,1015,Are you going to pack the court?
Biden,1015,1016,Vote now.
Trump,1016,1017,Are you going to pack the court?
Biden,1017,1020,"Make sure you, in fact, let people know, your Senators."
Trump,1020,1025,He doesn’t want to answer the question.
Biden,1025,1026,I’m not going to answer the question.
Trump,1026,1026,Why wouldn’t you answer that question? You want to put a lot of new Supreme Court Justices. Radical left.
Biden,1026,1028,"Will you shut up, man?"
Trump,1028,1031,"Listen, who is on your list, Joe? Who’s on your list?"
Wallace ,1031,1033,"Gentlemen, I think we’ve ended this-"
Biden,1033,1033,This is so un-Presidential.
Trump,1033,1035,He’s going to pack the court. He is not going to give a list.
Wallace ,1035,1038,We have ended the segment. We’re going to move on to the second segment.
Biden,1038,1043,"That was really a productive segment, wasn’t it? Keep yapping, man."
Trump,1043,1045,"The people understand, Joe."
Biden,1045,1045,They sure do.
Trump,1045,1048,"47 years, you’ve done nothing. They’re understand."
Wallace ,1048,1101,"All right, the second subject is COVID-19, which is an awfully serious subject. So let’s try to be serious about it. We have had more than seven million cases of coronavirus in the United States and more than 200,000 people have died. Even after we produce a vaccine, experts say that it could be months or even years before we come back to anything approaching normal. My question for both of you is, based on what you have said and done so far, and what you have said you would do starting in 2021, why should the American people trust you more than your opponent to deal with this public health crisis going forward? In this case, the question goes to you first, sir. Two minutes, uninterrupted."
Biden,1101,1158,"Good luck. 200,000 dead. As you said, over seven million infected in the United States. We, in fact, have 4% of the world’s population, 20% of the deaths. 40,000 people a day are contracting COVID. In addition to that, about between 750 and 1000 people a day are dying. When he was presented with that number, he said, “It is what it is.” Well, it is what it is because you are who you are. That’s why it is. The President has no plan. He hasn’t laid out anything. He knew all the way back in February how serious this crisis was. He knew it was a deadly disease. What did he do? He’s on tape as acknowledging he knew it. He said he didn’t tell us or give people a warning of it because he didn’t want to panic the American people. You don’t panic. He panicked. In addition to that, what did he do?"
Biden,1158,1171,He went in and we were insisting that the people we had in the ground in China should be able to go to Wuhan and determine for themselves how dangerous this was. He did not even ask Xi to do that.
Trump,1171,1171,Wrong.
Biden,1171,1185,He told us what a great job Xi was doing. He said we owe him debt of gratitude for being so transparent with us. And what did he do then? He then did nothing. He waited and waited and waited. He still doesn’t have a plan.
Trump,1185,1185,Wrong.
Wallace ,1185,1185,"Sir, it’s his two minutes."
Trump,1185,1185,It’s so wrong.
Biden,1185,1218,"I laid out back in March, exactly what we should be doing. And I laid out again in July, what we should be doing. We should be providing all the protective gear possible. We should be providing the money the House has passed in order to be able to go out and get people the help they need to keep their businesses open. Open schools cost a lot of money. You should get out of your bunker and get out of the sand trap in your golf course and go in the Oval Office and bring together the Democrats and Republicans and fund what needs to be done now to save lives."
Trump,1218,1219,"So, if we would have listened to you."
Wallace ,1219,1219,"Wait, wait. You have two minutes, sir."
Trump,1219,1254,"If we would’ve listened to you, the country would have been left wide open, millions of people would have died, not 200,000. And one person is too much. It’s China’s fault. It should have never happened. They stopped it from going in, but it was China’s fault. And, by the way, when you talk about numbers, you don’t know how many people died in China. You don’t know how many people died in Russia. You don’t know how many people died in India. They don’t exactly give you a straight count, just so you understand. But if you look at what we’ve done, I closed it and you said, “He’s xenophobic. He’s a racist and he’s xenophobic,” because you didn’t think I should have closed our country. Wait a minute."
Wallace ,1254,1255,"Sir, it’s his two minutes."
Trump,1255,1302,"You didn’t think we should have closed our country because you thought it was terrible. You wouldn’t have closed it for another two months. By my doing it early, in fact, Dr. Fauci said, “President Trump saved thousands of lives.” Many of your Democrat Governors said, “President Trump did a phenomenal job.” We worked with the Governor. Oh really, go take a look. The Governors said I did a phenomenal job. Most of them said that. In fact, people that would not be necessarily on my side said that, “President Trump did a phenomenal job.” We did. We got the gowns. We got the masks. We made the ventilators. You wouldn’t have made ventilators. And now we’re weeks away from a vaccine. We’re doing therapeutics already. Fewer people are dying when they get sick. Far fewer people are dying. We’ve done a great job."
Trump,1302,1323,"The only thing I haven’t done a good job, and that’s because of the fake news, no matter what you say to them, they give you a bad press on it. It’s just fake news. They give you good press, they give me bad press because that’s the way it is, unfortunately. But let me just say something. I don’t care. I’ve gotten used to it. But I’ll tell you, Joe, you could never have done the job that we did. You don’t have it in your blood. You could’ve never done that, Joe."
Biden,1323,1326,I know how to do the job. I know how to get the job done.
Trump,1326,1333,"Well, you didn’t do very well in Swine Flu. H1-N1, you were a disaster. Your own Chief of Staff said you were a disaster."
Biden,1333,1335,"14,000 people died, not 200,000."
Trump,1335,1340,"A far less lethal disease, by the way."
Wallace ,1340,1341,"Sir, you made a point. Let him answer it."
Biden,1341,1365,"And there was no one … We didn’t shut down the economy. This is his economy he shut down. The reason it’s shut down is because, look, you folks at home. How many of you got up this morning and had an empty chair at the kitchen table because someone died of COVID? How many of you are in a situation where you lost your mom or dad and you couldn’t even speak to them, you had a nurse holding a phone up so you could in fact say goodbye?"
Trump,1365,1371,"We would have lost far more people, far more people. You would have been months late. You’re months behind me, Joe."
Biden,1371,1393,"His own CDC Director says we could lose as many as another 200,000 people between now and the end of the year. And he said, if we just wear a mask, we can save half those numbers. Just a mask. And by the way, in terms of the whole notion of a vaccine, we’re for a vaccine, but I don’t trust him at all. Nor do you. I know you don’t. What we trust is a scientist."
Trump,1393,1393,"You don’t trust Johnson & Johnson, Pfizer?"
Wallace ,1393,1408,"Okay, gentlemen, gentlemen. Let me move on to questions about the future because you both have touched on two of the questions I’m going to ask. Focusing on the future first, President Trump, you have repeatedly either contradicted or been at odds with some of your governments own top scientists. The week before last, the Head of the Centers for Disease Control, Dr. Redfield said it would be summer before the vaccine would become generally available to the public. You said that he was confused and mistaken. Those were your two words. But Dr. Slaoui, the head of your Operation Warp Speed, has said exactly the same thing. Are they both wrong?"
Trump,1408,1415,"Well, I’ve spoken to the companies and we can have it a lot sooner. It’s a very political thing because people like this would rather make it political than save lives."
Biden,1415,1416,God.
Trump,1416,1431,"It is a very political thing. I’ve spoken to Pfizer, I’ve spoken to all of the people that you have to speak to, Moderna, Johnson & Johnson, and others. They can go faster than that by a lot. It’s become very political because the left… Or I don’t know if I call them left, I don’t know what I call them."
Wallace ,1431,1435,"So you’re suggesting that the head of your Operation Warp Speed, Dr. Slaoui-"
Trump,1435,1442,"I disagree with him. No, I disagree with both of them. And he didn’t say that. He said it could be there, but it could also be much sooner. I had him in my office two days ago."
Wallace ,1442,1446,"He talked about the summer, sir, before it’s generally available, just like Dr. Redfield."
Trump,1446,1452,Because he said it’s a possibility that we’ll have the answer before November 1st. It could also be after that.
Wallace ,1452,1453,"I’m talking about when it’s generally available, not-"
Trump,1453,1464,"Well, we’re going to deliver it right away. We have the military all set up. Logistically, they’re all set up. We have our military that delivers soldiers and they can do 200,000 a day. They’re going to be delivering-"
Biden,1464,1466,This is the same man who told you-
Trump,1466,1467,It’s all set up.
Biden,1467,1477,"… by Easter, this would be gone away. By the warm weather, it’d be gone. Miraculous, like a miracle. And by the way, maybe you could inject some bleach in your arm, and that would take care of it. This is the same man."
Trump,1477,1481,"That was said sarcastically, and you know that. That was said sarcastically."
Biden,1481,1502,"So here’s the deal. This man is talking about a vaccine. Every serious company is talking about maybe having a vaccine done by the end of the year, but the distribution of that vaccine will not occur until sometime beginning of the middle of next year to get it out, if we get the vaccine. And pray God we will. Pray God we will."
Wallace ,1502,1503,"Mr. Vice President, I want to pick up-"
Trump,1503,1504,You’ll have the vaccine sooner than that.
Wallace ,1504,1531,"I want to pick up on this question though. You say the public can trust the scientists, but they can’t trust President Trump. In fact, you said that again tonight. Your running mate, Senator Harris, goes further, saying that public health experts quote, “Will be muzzled, will be suppressed.” Given the fact that polls already show that people are concerned about the vaccine and are reluctant to take it, are you and your running mate, Senator Harris, contributing to that fear?"
Biden,1531,1538,No more than the question you just asked him. You pointed out he puts pressure and disagrees with his own scientists.
Wallace ,1538,1539,But you’re saying you can’t-
Biden,1539,1539,Everybody knows-
Wallace ,1539,1541,Or Senator Harris is saying you can’t trust the scientist.
Biden,1541,1545,"Well, no, no. You can trust the scientist. She didn’t say that. You can trust the-"
Wallace ,1545,1549,"She said that public health experts quote, “Will be muzzled, will be suppressed.”"
Biden,1549,1564,"Yes. Well, that’s what he’s going to try to do, but there’s thousands of scientists out there, like here at this great hospital that don’t work for him. Their job doesn’t depend on him. They’re the people… And by the way-"
Trump,1564,1566,We spoke to the scientists that are in charge-
Biden,1566,1566,By the way-
Trump,1566,1568,… they will have the vaccine very soon.
Wallace ,1568,1568,Let him finish.
Biden,1568,1600,"Do you believe for a moment what he’s telling you in light of all the lies he’s told you about the whole issue relating to COVID? He still hasn’t even acknowledged that he knew this was happening, knew how dangerous it was going to be back in February, and he didn’t even tell you. He’s on record as saying it. He panicked or he just looked at the stock market. One of the two. Because guess what? A lot of people died and a lot more are going to die unless he gets a lot smarter, a lot quicker-"
Wallace ,1600,1601,Mr. President?
Trump,1601,1617,"Did you use the word smart? So you said you went to Delaware State, but you forgot the name of your college. You didn’t go to Delaware State. You graduated either the lowest or almost the lowest in your class. Don’t ever use the word smart with me. Don’t ever use that word."
Biden,1617,1617,"Oh, give me a break."
Trump,1617,1622,"Because you know what? There’s nothing smart about you, Joe. 47 years you’ve done nothing."
Biden,1622,1624,"Well, let’s have this debate-"
Trump,1624,1635,"Let me just tell you something, Joe. If you would have had the charge of what I was put through, I had to close the greatest economy of the history of our country. And by the way, now it’s being built again and it’s going up fast."
Wallace ,1635,1637,"We’ll get to the economy in the next segment, sir."
Trump,1637,1639,Okay. It’s going up fast. I look forward to talking about it.
Wallace ,1639,1664,"Okay. When it comes to how the virus has been handled so far, the two of you have taken very different approaches, and this is going to affect how the virus is handled going forward by whichever of you ends up becoming the next president. I want to quickly go through several of those. Reopenings. Vice President Biden, you have been much more reluctant than President Trump about reopening the economy and schools. Why, sir?"
Biden,1664,1678,"Because he doesn’t have a plan. If I were running it, I’d know what the plan is. You’ve got to provide these businesses the ability to have the money to be able to reopen with the PPE, as well as with the sanitation they need. You have to provide them classic-"
Trump,1678,1680,Tell that to Nancy Pelosi.
Biden,1680,1682,Will he just shush for a minute?
Trump,1682,1685,"Tell that to Nancy Pelosi, and Schumer [crosstalk 00:04:52] Chuck."
Biden,1685,1697,"Nancy Pelosi and Schumer, they have a plan. He won’t even meet with them. The Republicans won’t meet in the Senate. He sits in his golf course. Well, I mean, literally, think about it. Think about it."
Trump,1697,1699,"You probably play more than I do, Joe."
Wallace ,1699,1701,What about this question of reopenings and the fact-
Trump,1701,1708,"Well, he wants to shut down this country and I want to keep it open, and we did a great thing by shutting it down-"
Biden,1708,1708,You just admitted you’d shut it down.
Trump,1708,1747,"Wait a minute, Joe. Let me shut you down for a second, Joe, just for one second. He wants to shut down the country. We just went through it. We had to, because we didn’t know anything about the disease. Now we’ve found that elderly people with heart problems and diabetes and different problems are very, very vulnerable. We learned a lot. Young children aren’t, even younger people aren’t. We’ve learned a lot, but he wants to shut it down. More people will be hurt by continuing. If you look at Pennsylvania, if you look at certain states that have been shut down, they have Democrat governors, all, one of the reasons they shut down is because they want to keep it shut down until after the election on November 3rd."
Wallace ,1747,1748,All right. I want to move onto another-
Trump,1748,1748,Because it’s a political thing.
Wallace ,1748,1748,I want to move onto another subject.
Biden,1748,1748,I got to respond to that.
Wallace ,1748,1750,I want to move-
Trump,1750,1751,But those states-
Wallace ,1751,1753,"Gentlemen, I want to move onto another subject."
Trump,1753,1755,Those states are not doing well that are shut down right now.
Biden,1755,1757,I got to respond to that.
Trump,1757,1757,He wants to shut down the whole country.
Wallace ,1757,1773,"President Trump, you have begun to increasingly question the effectiveness of masks as a disease preventer. And in fact, recently you have cited the issue of waiters touching their masks and touching plates. Are you questioning the efficacy of masks?"
Trump,1773,1786,"No, I think masks are okay. You have to understand, if you look… I mean, I have a mask right here. I put a mask on when I think I need it. Tonight, as an example, everybody’s had a test and you’ve had social distancing and all of the things that you have to, but I wear masks-"
Biden,1786,1786,Just like your rally.
Trump,1786,1788,"… when needed. When needed, I wear masks."
Wallace ,1788,1789,Okay. Let me ask-
Trump,1789,1798,"I don’t wear a mask like him. Every time you see him, he’s got a mask. He could be speaking 200 feet away from him and he shows up with the biggest mask I’ve ever seen. I will say this-"
Wallace ,1798,1801,"Vice President Biden, go ahead, sir."
Biden,1801,1808,"Look, the way to open businesses is give them the wherewithal to be able open. We provided money, the-"
Wallace ,1808,1809,"But I was asking you, sir, about masks."
Biden,1809,1823,"Well, masks make a big difference. His own head of the CDC said if we just wore masks between now, if everybody wore a mask and social distanced between now and January, we’d probably save up to 100,000 lives. It matters. It matters."
Trump,1823,1825,And they’ve also said the opposite. They’ve also said-
Biden,1825,1827,No serious person has said the opposite. No serious person.
Wallace ,1827,1830,Okay. I want to ask you-
Trump,1830,1831,Dr. Fauci. Dr. Fauci said the opposite.
Biden,1831,1832,He did not say the opposite.
Wallace ,1832,1835,"I want to ask you, we’ve got a little than a minute left in this segment."
Trump,1835,1838,"He said very strongly, “Masks are not good.” Then he changed his mind. He said, “Masks are good.”"
Wallace ,1838,1838,I want to ask-
Trump,1838,1840,I’m okay with masks. I’m not fighting masks.
Wallace ,1840,1851,"I want to ask you both about one last subject because your different approaches has even affected the way that you have campaigned. President Trump, you’re holding large rallies with crowds packed together, thousands of people."
Trump,1851,1852,Outside.
Wallace ,1852,1859,"Outside. Yes, sir. Agreed. Vice President Biden, you are holding much smaller events with-"
Trump,1859,1860,Because nobody will show up.
Wallace ,1860,1860,… people with masks.
Trump,1860,1863,"Well, it’s true. Nobody shows up to his rallies."
Wallace ,1863,1869,"All right. In any case, why you holding the big rallies? Why you not? You go first, sir."
Trump,1869,1872,Because people want to hear what I have to say. I mean-
Wallace ,1872,1874,But are not worried about us spreading disease?
Trump,1874,1879,"… I’m doing my job as a president, and I’ll have 25, 35,000 people show up at airports. We use airports and hangers and we have a lot of people-"
Wallace ,1879,1881,"Are you not worried about the disease issues, sir?"
